compound,icsd,sg,sgname,T11,T22,T33,T12,T13,T23,kappaLmin,kappaLmax,type
Fe3S4,icsd_044885,160,trigonal,5.50,5.50,2.00,0.00,0.00,0.00,2.00,5.50,vdW
Fe3Se4,icsd_633484,12,monoclinic,10.62,10.61,3.58,0.00,3.52,0.00,2.14,12.06,vdW
Ga1P1,icsd_635031,166,trigonal,24.18,24.18,32.85,0.00,0.00,0.00,24.18,32.85,vdW
Ga1S1,icsd_040824,166,trigonal,35.94,35.94,4.10,0.00,0.00,0.00,4.10,35.94,vdW
Ga1S1,icsd_053587,194,hexagonal,19.86,19.86,2.62,0.00,0.00,0.00,2.62,19.86,vdW
Ga1S1,icsd_635254,194,hexagonal,19.76,19.76,2.28,0.00,0.00,0.00,2.28,19.76,vdW
Ga1Se1,icsd_073387,187,hexagonal,10.67,10.67,1.73,0.00,0.00,0.00,1.73,10.67,vdW
Ga1Se1,icsd_660262,174,hexagonal,10.69,10.69,1.74,0.00,0.00,0.00,1.74,10.69,vdW
Ga1Te1,icsd_043328,194,hexagonal,6.57,6.57,1.53,0.00,0.00,0.00,1.53,6.57,vdW
Ge1I2,icsd_023176,164,trigonal,1.60,1.60,0.83,0.00,0.00,0.00,0.83,1.60,vdW
Ge1P1,icsd_637492,12,monoclinic,6.51,23.18,13.86,0.00,8.36,0.00,1.07,23.18,vdW
Ge1S1,icsd_038165,62,orthorhombic,6.41,6.41,18.69,0.00,0.00,0.00,6.41,18.69,vdW
Ge1S1,icsd_155418,63,orthorhombic,7.28,2.13,6.50,0.00,0.00,0.00,2.13,7.28,vdW
Ge1Se1,icsd_637853,62,orthorhombic,3.90,11.85,4.38,0.00,0.00,0.00,3.90,11.85,vdW
Ge1Te1,icsd_638005,62,orthorhombic,14.84,14.55,8.28,0.00,0.00,0.00,8.28,14.84,vdW
Ge1Te1,icsd_655497,160,trigonal,6.89,6.89,2.44,0.00,0.00,0.00,2.44,6.89,vdW
Hf1O2,icsd_173966,137,tetragonal,105.61,105.61,60.94,0.00,0.00,0.00,60.94,105.61,vdW
Hf1S2,icsd_638847,164,trigonal,31.36,31.36,2.16,0.00,0.00,0.00,2.16,31.36,vdW
Hf1Se2,icsd_603743,164,trigonal,17.36,17.36,1.86,0.00,0.00,0.00,1.86,17.36,vdW
Hf1Te2,icsd_603713,164,trigonal,8.49,8.49,1.06,0.00,0.00,0.00,1.06,8.49,vdW
Hf1Te5,icsd_085509,63,orthorhombic,1.54,0.61,1.46,0.00,0.00,0.00,0.61,1.54,vdW
Hf2S1,icsd_043203,194,hexagonal,19.53,19.53,34.15,0.00,0.00,0.00,19.53,34.15,vdW
Hf3Te2,icsd_075936,139,tetragonal,2.88,2.88,0.84,0.00,0.00,0.00,0.84,2.88,vdW
Hg1I2,icsd_022401,137,tetragonal,1.80,1.80,0.84,0.00,0.00,0.00,0.84,1.80,vdW
Hg1I2,icsd_181575,137,tetragonal,1.80,1.80,0.84,0.00,0.00,0.00,0.84,1.80,vdW
Hg1I2,icsd_281133,137,tetragonal,0.76,0.76,0.65,0.00,0.00,0.00,0.65,0.76,vdW
Hg1N6,icsd_021029,29,orthorhombic,1.52,1.61,1.37,0.00,0.00,0.00,1.37,1.61,vdW
Hg2I4,icsd_241172,137,tetragonal,1.80,1.80,0.84,0.00,0.00,0.00,0.84,1.80,vdW
I1In1,icsd_055183,63,orthorhombic,0.90,0.85,0.84,0.00,0.00,0.00,0.84,0.90,vdW
I1Tl1,icsd_055199,63,orthorhombic,0.54,0.51,0.55,0.00,0.00,0.00,0.51,0.55,vdW
I2Mg1,icsd_052279,164,trigonal,5.38,5.38,1.34,0.00,0.00,0.00,1.34,5.38,vdW
I2Mn1,icsd_033673,164,trigonal,10.90,10.90,1.56,0.00,0.00,0.00,1.56,10.90,vdW
I2Ni1,icsd_022108,166,trigonal,6.47,6.47,2.02,0.00,0.00,0.00,2.02,6.47,vdW
I2Pb1,icsd_024263,186,hexagonal,0.88,0.88,0.70,0.00,0.00,0.00,0.70,0.88,vdW
I2Pb1,icsd_024264,156,trigonal,0.80,0.80,0.65,0.00,0.00,0.00,0.65,0.80,vdW
I2Pb1,icsd_042014,166,trigonal,0.92,0.92,0.70,0.00,0.00,0.00,0.70,0.92,vdW
I2Pb1,icsd_068819,164,trigonal,1.53,1.53,0.87,0.00,0.00,0.00,0.87,1.53,vdW
I2Pb1,icsd_077325,166,trigonal,1.19,1.19,0.86,0.00,0.00,0.00,0.86,1.19,vdW
I2Pb1,icsd_108914,166,trigonal,0.91,0.91,0.69,0.00,0.00,0.00,0.69,0.91,vdW
