compound,icsd,sg,sgname,T11,T22,T33,T12,T13,T23,kappaLmin,kappaLmax,type
Br1F5Sn3,icsd_001383,14,monoclinic,0.82,0.99,0.93,0.00,0.40,0.00,0.48,1.27,ionic
Br1Hg2P3,icsd_074770,60,orthorhombic,1.35,1.09,1.34,0.00,0.00,0.00,1.09,1.35,ionic
Br1N1Sr2,icsd_172600,166,trigonal,4.12,4.12,3.73,0.00,0.00,0.00,3.73,4.12,ionic
Br1Se2Tl5,icsd_075960,140,tetragonal,0.67,0.67,0.53,0.00,0.00,0.00,0.53,0.67,ionic
Br2Ca3Si1,icsd_089537,139,tetragonal,1.80,1.80,1.92,0.00,0.00,0.00,1.80,1.92,ionic
Br2Ca3Si1,icsd_089538,71,orthorhombic,2.16,4.68,1.53,0.00,0.00,0.00,1.53,4.68,ionic
Br2Ca3Si1,icsd_089540,166,trigonal,0.97,0.97,2.06,0.00,0.00,0.00,0.97,2.06,ionic
Br2Cs1Li1,icsd_245979,129,tetragonal,0.80,0.80,0.68,0.00,0.00,0.00,0.68,0.80,ionic
Br2Ge3La3,icsd_414172,12,monoclinic,1.52,1.70,1.67,0.00,0.76,0.00,0.83,2.36,ionic
Br2Hg3Se2,icsd_099092,12,monoclinic,0.56,0.61,0.67,0.00,0.25,0.00,0.36,0.88,ionic
Br2Hg5O4,icsd_038605,72,orthorhombic,0.99,1.20,1.24,0.00,0.00,0.00,0.99,1.24,ionic
Br2K4O1,icsd_068505,139,tetragonal,1.11,1.11,1.08,0.00,0.00,0.00,1.08,1.11,ionic
Br2Li1Rb1,icsd_030719,63,orthorhombic,1.09,1.26,0.93,0.00,0.00,0.00,0.93,1.26,ionic
Br2Na4O1,icsd_067283,139,tetragonal,1.50,1.50,1.42,0.00,0.00,0.00,1.42,1.50,ionic
Br2O1Rb4,icsd_411954,139,tetragonal,0.77,0.77,0.74,0.00,0.00,0.00,0.74,0.77,ionic
Br3Cs1Pb1,icsd_109295,99,tetragonal,0.71,0.71,0.71,0.00,0.00,0.00,0.71,0.71,ionic
Br3La6Si7,icsd_408032,59,orthorhombic,1.82,1.89,1.77,0.00,0.00,0.00,1.77,1.89,ionic
Br3Li7O2,icsd_067264,139,tetragonal,2.33,2.33,1.98,0.00,0.00,0.00,1.98,2.33,ionic
Br4Mn1Rb2,icsd_008174,139,tetragonal,0.81,0.81,0.75,0.00,0.00,0.00,0.75,0.81,ionic
Br5Cs1Sn2,icsd_151987,140,tetragonal,0.66,0.66,0.57,0.00,0.00,0.00,0.57,0.66,ionic
Br5In1Sn2,icsd_151985,140,tetragonal,0.69,0.69,0.49,0.00,0.00,0.00,0.49,0.69,ionic
Br5K1Sn2,icsd_151983,140,tetragonal,0.74,0.74,0.58,0.00,0.00,0.00,0.58,0.74,ionic
Br5Pb2Rb1,icsd_151990,140,tetragonal,0.77,0.77,0.52,0.00,0.00,0.00,0.52,0.77,ionic
Br5Rb1Sn2,icsd_151989,140,tetragonal,0.71,0.71,0.58,0.00,0.00,0.00,0.58,0.71,ionic
Br5Sn2Tl1,icsd_151988,140,tetragonal,0.68,0.68,0.54,0.00,0.00,0.00,0.54,0.68,ionic
Br6K2Sn1,icsd_030212,90,tetragonal,0.64,0.64,0.69,0.00,0.00,0.00,0.64,0.69,ionic
Br6Pb2Pd1,icsd_078874,14,monoclinic,0.69,0.71,0.78,0.00,0.26,0.00,0.47,1.00,ionic
Br7Mn2Rb3,icsd_032544,139,tetragonal,0.82,0.82,0.79,0.00,0.00,0.00,0.79,0.82,ionic
C1Cl1La2,icsd_400894,166,trigonal,2.97,2.97,2.15,0.00,0.00,0.00,2.15,2.97,ionic
C2B2La1,icsd_094035,127,tetragonal,9.03,9.03,3.95,0.00,0.00,0.00,3.95,9.03,ionic
C2B2La1,icsd_612631,131,tetragonal,8.87,8.87,3.67,0.00,0.00,0.00,3.67,8.87,ionic
C2B2La1,icsd_654405,112,tetragonal,8.87,8.87,3.67,0.00,0.00,0.00,3.67,8.87,ionic
C2Cl1La2,icsd_419171,15,monoclinic,1.62,2.20,2.54,0.00,1.16,0.00,0.83,3.32,ionic
C2La1Ni1,icsd_618179,38,orthorhombic,3.88,7.07,5.66,0.00,0.00,0.00,3.88,7.07,ionic
C2La2O2,icsd_000462,12,monoclinic,43.99,39.45,25.81,0.00,13.51,0.00,18.65,51.15,ionic
C6Cl4La6,icsd_416906,14,monoclinic,1.68,1.58,1.67,0.00,0.64,0.00,1.03,2.32,ionic
Ca1Cd2P2,icsd_100063,164,trigonal,5.97,5.97,3.97,0.00,0.00,0.00,3.97,5.97,ionic
Ca1Cd2Sb2,icsd_012151,164,trigonal,2.48,2.48,1.86,0.00,0.00,0.00,1.86,2.48,ionic
Ca1Cl1F1,icsd_001130,129,tetragonal,2.61,2.61,1.77,0.00,0.00,0.00,1.77,2.61,ionic
Ca1Co2Ge2,icsd_000406,139,tetragonal,3.48,3.48,2.47,0.00,0.00,0.00,2.47,3.48,ionic
Ca1Co2P2,icsd_010462,139,tetragonal,6.09,6.09,4.34,0.00,0.00,0.00,4.34,6.09,ionic
Ca1Co2Si2,icsd_420974,139,tetragonal,6.03,6.03,4.02,0.00,0.00,0.00,4.02,6.03,ionic
Ca1Cr2O4,icsd_006131,59,orthorhombic,7.84,7.86,7.02,0.00,0.00,0.00,7.02,7.86,ionic
Ca1Cs2F4,icsd_082616,139,tetragonal,1.45,1.45,1.22,0.00,0.00,0.00,1.22,1.45,ionic
Ca1Cu1Ge1,icsd_100071,33,orthorhombic,1.85,2.12,2.26,0.00,0.00,0.00,1.85,2.26,ionic
Ca1Cu1Ge1,icsd_408580,62,orthorhombic,1.85,2.26,2.12,0.00,0.00,0.00,1.85,2.26,ionic
Ca1Cu1O2,icsd_086544,123,tetragonal,17.27,17.27,10.23,0.00,0.00,0.00,10.23,17.27,ionic
Ca1Cu1P1,icsd_049740,194,hexagonal,4.66,4.66,2.52,0.00,0.00,0.00,2.52,4.66,ionic
Ca1Cu1Sb1,icsd_659589,194,hexagonal,2.12,2.12,1.36,0.00,0.00,0.00,1.36,2.12,ionic
Ca1Cu1Sn1,icsd_417715,44,orthorhombic,1.79,1.56,1.76,0.00,0.00,0.00,1.56,1.79,ionic
Ca1Cu2Ge2,icsd_081757,139,tetragonal,2.21,2.21,2.28,0.00,0.00,0.00,2.21,2.28,ionic
Ca1Cu2O3,icsd_015094,59,orthorhombic,4.12,9.08,2.55,0.00,0.00,0.00,2.55,9.08,ionic
Ca1Cu2P2,icsd_041756,139,tetragonal,3.45,3.45,2.99,0.00,0.00,0.00,2.99,3.45,ionic
Ca1Cu2Si2,icsd_025314,139,tetragonal,3.53,3.53,3.79,0.00,0.00,0.00,3.53,3.79,ionic
Ca1Cu2Sn2,icsd_417717,12,monoclinic,1.89,1.72,2.56,0.00,0.43,0.00,1.68,2.77,ionic
Ca1F3K1,icsd_181649,62,orthorhombic,2.91,3.08,3.10,0.00,0.00,0.00,2.91,3.10,ionic
Ca1Fe1O2,icsd_173438,123,tetragonal,51.99,51.99,8.47,0.00,0.00,0.00,8.47,51.99,ionic
Ca1Fe1O2,icsd_246244,113,tetragonal,31.45,31.45,7.08,0.00,0.00,0.00,7.08,31.45,ionic
Ca1Fe2P2,icsd_010463,139,tetragonal,7.67,7.67,2.63,0.00,0.00,0.00,2.63,7.67,ionic
Ca1Ga1Ge1,icsd_166384,194,hexagonal,2.07,2.07,1.71,0.00,0.00,0.00,1.71,2.07,ionic
Ca1Ga1Sn1,icsd_619297,194,hexagonal,1.70,1.70,1.40,0.00,0.00,0.00,1.40,1.70,ionic
Ca1Ga2P2,icsd_422525,194,hexagonal,7.57,7.57,6.58,0.00,0.00,0.00,6.58,7.57,ionic
Ca1Ge1Ni1,icsd_418852,129,tetragonal,2.35,2.35,1.76,0.00,0.00,0.00,1.76,2.35,ionic
Ca1Ge1Zn1,icsd_052772,194,hexagonal,2.57,2.57,1.63,0.00,0.00,0.00,1.63,2.57,ionic
Ca1Ge2Mn2,icsd_080505,139,tetragonal,2.77,2.77,3.20,0.00,0.00,0.00,2.77,3.20,ionic
Ca1Ge2Ni1,icsd_240342,63,orthorhombic,2.04,2.57,2.50,0.00,0.00,0.00,2.04,2.57,ionic
Ca1Ge2Ni2,icsd_081755,139,tetragonal,2.77,2.77,2.45,0.00,0.00,0.00,2.45,2.77,ionic
Ca1Ge2Pd2,icsd_052759,139,tetragonal,1.73,1.73,1.50,0.00,0.00,0.00,1.50,1.74,ionic
Ca1Ge2Pt2,icsd_619327,4,monoclinic,1.47,1.45,1.59,0.00,0.75,0.00,0.79,2.28,ionic
Ca1Ge2Rh2,icsd_052760,139,tetragonal,3.06,3.06,2.18,0.00,0.00,0.00,2.18,3.06,ionic
Ca1Ge2Ru2,icsd_052761,139,tetragonal,3.19,3.19,2.04,0.00,0.00,0.00,2.04,3.19,ionic
Ca1Ge2Zn2,icsd_025319,139,tetragonal,2.05,2.05,1.71,0.00,0.00,0.00,1.71,2.06,ionic
Ca1Hg1Sn1,icsd_602726,186,hexagonal,1.39,1.39,1.25,0.00,0.00,0.00,1.25,1.39,ionic
Ca1Hg1Sn1,icsd_659596,194,hexagonal,0.87,0.87,0.88,0.00,0.00,0.00,0.87,0.88,ionic
Ca1In2P2,icsd_260562,194,hexagonal,4.43,4.43,4.11,0.00,0.00,0.00,4.11,4.43,ionic
Ca1Li1Pb1,icsd_409533,187,hexagonal,1.36,1.36,1.21,0.00,0.00,0.00,1.21,1.36,ionic
Ca1Li1Sb1,icsd_052775,62,orthorhombic,1.82,1.96,1.58,0.00,0.00,0.00,1.58,1.96,ionic
Ca1Mg2N2,icsd_079123,164,trigonal,29.79,29.79,21.06,0.00,0.00,0.00,21.06,29.79,ionic
Ca1Mg2Sb2,icsd_100045,164,trigonal,4.29,4.29,3.47,0.00,0.00,0.00,3.47,4.29,ionic
Ca1Mn1Sb2,icsd_052705,62,orthorhombic,1.26,1.72,1.25,0.00,0.00,0.00,1.25,1.72,ionic
Ca1Mn1Si1,icsd_066949,129,tetragonal,3.09,3.09,1.84,0.00,0.00,0.00,1.84,3.09,ionic
Ca1Mn1Sn1,icsd_066950,129,tetragonal,2.01,2.01,1.45,0.00,0.00,0.00,1.45,2.01,ionic
Ca1Mn2O4,icsd_096244,61,orthorhombic,21.44,18.19,20.53,0.00,0.00,0.00,18.19,21.44,ionic
Ca1Mn2P2,icsd_049017,164,trigonal,14.84,14.84,16.99,0.00,0.00,0.00,14.84,16.99,ionic
Ca1Mn2Sb2,icsd_164898,164,trigonal,5.10,5.10,3.56,0.00,0.00,0.00,3.56,5.10,ionic
Ca1Mo1O3,icsd_172790,62,orthorhombic,7.48,8.09,7.33,0.00,0.00,0.00,7.33,8.09,ionic
Ca1N1Ni1,icsd_069044,131,tetragonal,75.39,75.39,19.11,0.00,0.00,0.00,19.11,75.39,ionic
Ca1Nb1O3,icsd_051202,62,orthorhombic,10.71,14.13,9.68,0.00,0.00,0.00,9.68,14.13,ionic
Ca1Nb2O4,icsd_088779,57,orthorhombic,9.71,6.28,9.35,0.00,0.00,0.00,6.28,9.71,ionic
Ca1Nb2O6,icsd_015208,60,orthorhombic,10.43,6.04,13.80,0.00,0.00,0.00,6.04,13.80,ionic
Ca1Ni2P2,icsd_010461,139,tetragonal,4.85,4.85,4.85,0.00,0.00,0.00,4.85,4.85,ionic
Ca1Ni2Si1,icsd_412411,194,hexagonal,4.59,4.59,2.36,0.00,0.00,0.00,2.36,4.59,ionic
Ca1Ni2Si2,icsd_020299,139,tetragonal,4.68,4.68,3.81,0.00,0.00,0.00,3.81,4.68,ionic
Ca1Ni4O8,icsd_040470,166,trigonal,6.23,6.23,2.81,0.00,0.00,0.00,2.81,6.23,ionic
Ca1O3Pt1,icsd_173278,63,orthorhombic,9.80,5.16,8.50,0.00,0.00,0.00,5.16,9.80,ionic
Ca1O3Rh1,icsd_164774,63,orthorhombic,15.30,7.39,13.43,0.00,0.00,0.00,7.39,15.30,ionic
Ca1O3Rh1,icsd_164775,62,orthorhombic,18.31,18.23,12.42,0.00,0.00,0.00,12.42,18.31,ionic
Ca1O3Ru1,icsd_056698,62,orthorhombic,8.94,9.41,7.46,0.00,0.00,0.00,7.46,9.41,ionic
Ca1O3Sn1,icsd_029204,148,trigonal,7.38,7.38,10.17,0.00,0.00,0.00,7.38,10.17,ionic
Ca1O3Sn1,icsd_151593,62,orthorhombic,8.44,10.39,8.99,0.00,0.00,0.00,8.44,10.39,ionic
Ca1O3Ti1,icsd_038212,11,monoclinic,10.52,11.02,10.53,0.00,5.19,0.00,5.33,15.72,ionic
Ca1O3Zr1,icsd_167889,62,orthorhombic,11.68,12.87,14.70,0.00,0.00,0.00,11.68,14.70,ionic
Ca1O5V2,icsd_082689,59,orthorhombic,12.05,11.37,4.08,0.00,0.00,0.00,4.08,12.05,ionic
Ca1O6Sb2,icsd_074539,162,trigonal,30.24,30.24,7.23,0.00,0.00,0.00,7.23,30.25,ionic
Ca1O6Ta2,icsd_024091,62,orthorhombic,5.40,8.27,4.43,0.00,0.00,0.00,4.43,8.27,ionic
Ca1O7V3,icsd_241196,62,orthorhombic,2.85,8.06,7.78,0.00,0.00,0.00,2.85,8.06,ionic
Ca1O9V4,icsd_002556,85,tetragonal,13.39,13.39,2.91,0.00,0.00,0.00,2.91,13.39,ionic
Ca1P1Pt1,icsd_060826,26,orthorhombic,1.67,3.07,2.63,0.00,0.00,0.00,1.67,3.07,ionic
Ca1P2Pd2,icsd_036371,139,tetragonal,2.85,2.85,3.39,0.00,0.00,0.00,2.85,3.39,ionic
Ca1P2Rh2,icsd_050185,139,tetragonal,4.01,4.01,4.27,0.00,0.00,0.00,4.01,4.27,ionic
Ca1P2Ru2,icsd_602125,139,tetragonal,5.71,5.71,2.13,0.00,0.00,0.00,2.13,5.71,ionic
Ca1P2Zn2,icsd_100062,164,trigonal,11.62,11.62,7.77,0.00,0.00,0.00,7.77,11.62,ionic
Ca1Pd1Si1,icsd_069790,14,monoclinic,2.03,1.86,2.15,0.00,1.10,0.00,0.99,3.20,ionic
Ca1Pd2Si2,icsd_619506,139,tetragonal,2.55,2.55,2.50,0.00,0.00,0.00,2.50,2.55,ionic
Ca1Pt1Si1,icsd_072641,14,monoclinic,1.72,1.57,1.91,0.00,0.97,0.00,0.85,2.79,ionic
Ca1Rh1Sn2,icsd_410775,63,orthorhombic,2.67,2.01,2.14,0.00,0.00,0.00,2.01,2.67,ionic
Ca1S3Zr1,icsd_023286,62,orthorhombic,7.20,5.86,4.01,0.00,0.00,0.00,4.01,7.20,ionic
Ca1S4Sc2,icsd_027181,62,orthorhombic,3.15,4.14,4.37,0.00,0.00,0.00,3.15,4.37,ionic
Ca1Sb2Zn2,icsd_012150,164,trigonal,3.28,3.28,2.16,0.00,0.00,0.00,2.16,3.28,ionic
Ca1Si1Zn1,icsd_052791,194,hexagonal,3.69,3.69,2.13,0.00,0.00,0.00,2.13,3.69,ionic
Ca1Si2Zn2,icsd_059649,139,tetragonal,2.52,2.52,3.67,0.00,0.00,0.00,2.52,3.67,ionic
Ca1Sn1Zn1,icsd_106358,186,hexagonal,2.13,2.13,1.89,0.00,0.00,0.00,1.89,2.13,ionic
Ca1Sn1Zn1,icsd_659612,194,hexagonal,2.64,2.64,1.31,0.00,0.00,0.00,1.31,2.64,ionic
Ca2Cd1Sb2,icsd_173172,62,orthorhombic,1.04,1.72,1.45,0.00,0.00,0.00,1.04,1.72,ionic
Ca2Ge1O4,icsd_016258,139,tetragonal,26.50,26.50,34.72,0.00,0.00,0.00,26.50,34.72,ionic
Ca2Ge2Ni3,icsd_421074,51,orthorhombic,2.06,2.51,2.09,0.00,0.00,0.00,2.06,2.51,ionic
Ca2I1P1,icsd_065217,166,trigonal,4.20,4.20,2.60,0.00,0.00,0.00,2.60,4.20,ionic
Ca2Mn1O4,icsd_099523,142,tetragonal,6.23,6.23,5.86,0.00,0.00,0.00,5.86,6.23,ionic
Ca2Mn3O8,icsd_024847,12,monoclinic,10.16,13.75,12.57,0.00,4.97,0.00,6.26,16.47,ionic
Ca2Ni7P4,icsd_094448,31,orthorhombic,2.96,2.84,2.95,0.00,0.00,0.00,2.84,2.96,ionic
Ca2O4Ru1,icsd_056583,61,orthorhombic,4.85,4.80,7.07,0.00,0.00,0.00,4.80,7.07,ionic
Ca2O4Ru1,icsd_056584,14,monoclinic,5.02,5.76,7.59,0.00,2.90,0.00,3.14,9.47,ionic
Ca2O4Si1,icsd_040657,139,tetragonal,11.63,11.63,12.34,0.00,0.00,0.00,11.63,12.34,ionic
Ca2O8Pt3,icsd_065412,166,trigonal,7.51,7.51,4.14,0.00,0.00,0.00,4.14,7.51,ionic
Ca2Pd3Sb4,icsd_416139,139,tetragonal,1.26,1.26,1.12,0.00,0.00,0.00,1.12,1.26,ionic
Ca3Ga2N4,icsd_170442,15,monoclinic,6.76,7.32,6.00,0.00,4.58,0.00,1.80,10.96,ionic
Ca3Ga2P4,icsd_423781,15,monoclinic,4.18,5.20,3.24,0.00,2.81,0.00,0.86,6.56,ionic
Ca3Mn2O7,icsd_096697,63,orthorhombic,24.10,22.64,26.36,0.00,0.00,0.00,22.64,26.36,ionic
Ca3Mn2O7,icsd_098090,139,tetragonal,8.62,8.62,12.61,0.00,0.00,0.00,8.62,12.61,ionic
Ca3Ni3Si2,icsd_412410,62,orthorhombic,2.16,2.56,2.10,0.00,0.00,0.00,2.10,2.56,ionic
Ca3O7Ru2,icsd_153770,36,orthorhombic,4.61,5.48,7.08,0.00,0.00,0.00,4.61,7.08,ionic
Ca3O7Ti2,icsd_086241,36,orthorhombic,9.58,10.03,9.12,0.00,0.00,0.00,9.12,10.03,ionic
Ca4Ge3Ni4,icsd_421432,63,orthorhombic,2.27,1.76,2.10,0.00,0.00,0.00,1.76,2.27,ionic
Ca4In2N1,icsd_062535,141,tetragonal,2.02,2.02,1.87,0.00,0.00,0.00,1.87,2.03,ionic
Ca4O1P2,icsd_068202,139,tetragonal,7.84,7.84,6.66,0.00,0.00,0.00,6.66,7.84,ionic
Ca4O1P2,icsd_402952,139,tetragonal,7.84,7.84,6.66,0.00,0.00,0.00,6.66,7.84,ionic
Ca4O1Sb2,icsd_016353,139,tetragonal,3.62,3.62,2.88,0.00,0.00,0.00,2.88,3.62,ionic
Ca4O8Ru2,icsd_261486,61,orthorhombic,4.25,4.22,5.91,0.00,0.00,0.00,4.22,5.91,ionic
Cd1Cl4Cs2,icsd_016576,139,tetragonal,0.82,0.82,0.78,0.00,0.00,0.00,0.78,0.82,ionic
Cd1Cl4Rb2,icsd_051168,139,tetragonal,0.97,0.97,0.97,0.00,0.00,0.00,0.97,0.98,ionic
Cd1Ge1O3,icsd_030971,148,trigonal,9.75,9.75,5.71,0.00,0.00,0.00,5.71,9.75,ionic
Cd1Ge1O3,icsd_158753,62,orthorhombic,9.35,8.77,8.06,0.00,0.00,0.00,8.06,9.35,ionic
Cd1In1S2,icsd_052810,164,trigonal,3.06,3.06,6.69,0.00,0.00,0.00,3.06,6.69,ionic
Cd1K1Sb1,icsd_620064,129,tetragonal,0.77,0.77,0.70,0.00,0.00,0.00,0.70,0.77,ionic
Cd1Na2Sn1,icsd_102034,194,hexagonal,1.05,1.05,0.95,0.00,0.00,0.00,0.95,1.05,ionic
Cd1O3Sn1,icsd_180400,148,trigonal,5.62,5.62,9.75,0.00,0.00,0.00,5.62,9.75,ionic
Cd1O3Ti1,icsd_262708,148,trigonal,8.83,8.83,14.77,0.00,0.00,0.00,8.83,14.77,ionic
Cd1O3Ti1,icsd_262710,62,orthorhombic,18.00,16.65,18.09,0.00,0.00,0.00,16.65,18.09,ionic
Cd1O4W1,icsd_067913,13,monoclinic,8.01,5.90,11.93,0.00,5.68,0.00,3.96,15.98,ionic
Cd1O6P2,icsd_008070,19,orthorhombic,4.58,3.37,4.98,0.00,0.00,0.00,3.37,4.98,ionic
Cd1O6Sb2,icsd_181929,162,trigonal,25.18,25.18,6.31,0.00,0.00,0.00,6.31,25.18,ionic
Cd1O6V2,icsd_249319,60,orthorhombic,15.05,5.88,11.96,0.00,0.00,0.00,5.88,15.06,ionic
Cd1O7V3,icsd_072603,62,orthorhombic,2.22,5.02,5.25,0.00,0.00,0.00,2.22,5.25,ionic
Cd1S2Tl1,icsd_020320,164,trigonal,1.91,1.91,3.44,0.00,0.00,0.00,1.91,3.44,ionic
Cd1S2Tl1,icsd_164949,156,trigonal,1.96,1.96,4.51,0.00,0.00,0.00,1.96,4.51,ionic
Cd2Ge2Sr1,icsd_025331,139,tetragonal,1.31,1.31,1.35,0.00,0.00,0.00,1.31,1.35,ionic
Cd2I1P3,icsd_100816,9,monoclinic,4.47,4.58,3.61,0.00,1.44,0.00,2.54,5.54,ionic
Cd2P2Sr1,icsd_030912,164,trigonal,5.68,5.68,4.00,0.00,0.00,0.00,4.00,5.68,ionic
Cd2Sb2Sr1,icsd_012153,164,trigonal,2.31,2.31,1.66,0.00,0.00,0.00,1.66,2.31,ionic
Cd3Cs2Te4,icsd_090369,72,orthorhombic,0.66,0.68,0.59,0.00,0.00,0.00,0.59,0.68,ionic
Cd3K2S4,icsd_081655,62,orthorhombic,1.21,1.26,1.44,0.00,0.00,0.00,1.21,1.44,ionic
Cd3K2Se4,icsd_710063,62,orthorhombic,0.95,1.02,1.11,0.00,0.00,0.00,0.95,1.11,ionic
Cd3K2Te4,icsd_081658,62,orthorhombic,0.76,0.83,0.90,0.00,0.00,0.00,0.76,0.90,ionic
Cd3Na4Se5,icsd_073814,62,orthorhombic,1.14,1.31,1.25,0.00,0.00,0.00,1.14,1.31,ionic
Cd3Rb2S4,icsd_081656,62,orthorhombic,1.06,1.16,1.18,0.00,0.00,0.00,1.06,1.18,ionic
Cd3Rb2Se4,icsd_081657,62,orthorhombic,0.85,0.95,0.93,0.00,0.00,0.00,0.85,0.95,ionic
Cd4K1P3,icsd_262033,166,trigonal,1.52,1.52,1.24,0.00,0.00,0.00,1.24,1.52,ionic
Cl1F1Pb1,icsd_039165,129,tetragonal,1.20,1.20,0.94,0.00,0.00,0.00,0.94,1.20,ionic
Cl1F1Sr1,icsd_155007,129,tetragonal,1.83,1.83,1.59,0.00,0.00,0.00,1.59,1.83,ionic
Cl1Hg2P3,icsd_074771,15,monoclinic,2.33,2.24,1.59,0.00,0.64,0.00,1.22,2.70,ionic
Cl1In5S5,icsd_414221,11,monoclinic,1.56,1.85,1.33,0.00,0.84,0.00,0.60,2.29,ionic
Cl1Li4N1,icsd_084649,166,trigonal,8.40,8.40,5.94,0.00,0.00,0.00,5.94,8.40,ionic
Cl2Cs1Li1,icsd_245972,129,tetragonal,1.08,1.08,0.89,0.00,0.00,0.00,0.89,1.08,ionic
Cl2Cs1Li1,icsd_423634,15,monoclinic,0.96,0.85,0.98,0.00,0.43,0.00,0.54,1.40,ionic
Cl2Ge3La3,icsd_414173,12,monoclinic,1.72,1.99,1.90,0.00,0.83,0.00,0.98,2.65,ionic
Cl2Hg2P1,icsd_050594,12,monoclinic,5.88,3.67,2.41,0.00,2.74,0.00,0.90,7.38,ionic
Cl2La3Si3,icsd_408031,12,monoclinic,2.12,2.30,2.41,0.00,1.00,0.00,1.25,3.27,ionic
Cl2Li1Rb1,icsd_036216,63,orthorhombic,1.40,1.53,1.24,0.00,0.00,0.00,1.24,1.53,ionic
Cl2O1Pd2,icsd_061333,141,tetragonal,9.27,9.27,4.40,0.00,0.00,0.00,4.40,9.27,ionic
Cl2O5Sb4,icsd_024029,14,monoclinic,1.15,1.39,1.65,0.00,0.26,0.00,1.04,1.75,ionic
Cl3Cs1Li2,icsd_245974,71,orthorhombic,1.18,1.27,1.05,0.00,0.00,0.00,1.05,1.27,ionic
Cl3Cs1Pb1,icsd_109294,99,tetragonal,0.91,0.91,0.91,0.00,0.00,0.00,0.91,0.91,ionic
Cl3Mn1Na1,icsd_002552,148,trigonal,3.12,3.12,2.49,0.00,0.00,0.00,2.49,3.12,ionic
Cl4Cr1Cs2,icsd_041571,139,tetragonal,1.05,1.05,0.79,0.00,0.00,0.00,0.79,1.05,ionic
Cl4Cr1Rb2,icsd_009858,139,tetragonal,0.83,0.83,0.86,0.00,0.00,0.00,0.83,0.86,ionic
Cl4Hg1K2,icsd_038109,62,orthorhombic,0.75,0.59,0.89,0.00,0.00,0.00,0.59,0.89,ionic
Cl4K2Mg1,icsd_004035,139,tetragonal,1.78,1.78,1.74,0.00,0.00,0.00,1.74,1.78,ionic
Cl4Mn1Rb2,icsd_001139,139,tetragonal,1.36,1.36,1.09,0.00,0.00,0.00,1.09,1.36,ionic
Cl5Cs1Pb2,icsd_249888,140,tetragonal,0.87,0.87,0.62,0.00,0.00,0.00,0.62,0.87,ionic
Cl5Cs1Sn2,icsd_093791,140,tetragonal,0.82,0.82,0.72,0.00,0.00,0.00,0.72,0.82,ionic
Cl5Nb3O2,icsd_091781,58,orthorhombic,9.95,2.20,4.06,0.00,0.00,0.00,2.20,9.96,ionic
Cl6Pb2Pd1,icsd_078873,14,monoclinic,0.87,0.92,1.02,0.00,0.34,0.00,0.59,1.30,ionic
Cl7Cs1Ti2,icsd_067168,13,monoclinic,0.82,1.27,1.24,0.00,0.32,0.00,0.65,1.41,ionic
Cl7Cs3Mg2,icsd_066828,139,tetragonal,1.14,1.14,0.99,0.00,0.00,0.00,0.99,1.14,ionic
Cl7In1Y2,icsd_201429,62,orthorhombic,0.57,1.01,1.20,0.00,0.00,0.00,0.57,1.20,ionic
Cl7K3Mn2,icsd_036127,139,tetragonal,1.31,1.31,1.40,0.00,0.00,0.00,1.31,1.40,ionic
Cl8Mn3Na2,icsd_001846,166,trigonal,2.66,2.66,2.08,0.00,0.00,0.00,2.08,2.66,ionic
Cl8Na2Ti3,icsd_401026,166,trigonal,3.44,3.44,2.24,0.00,0.00,0.00,2.24,3.44,ionic
Cl8Na2Ti3,icsd_401027,160,trigonal,3.44,3.44,2.24,0.00,0.00,0.00,2.24,3.44,ionic
Co1Cu2O3,icsd_033996,59,orthorhombic,6.77,13.21,6.43,0.00,0.00,0.00,6.43,13.22,ionic
Co1F3Na1,icsd_072321,62,orthorhombic,3.84,4.42,4.44,0.00,0.00,0.00,3.84,4.44,ionic
Co1F4K2,icsd_033522,139,tetragonal,2.49,2.49,2.39,0.00,0.00,0.00,2.39,2.49,ionic
Co1F4Rb2,icsd_069683,139,tetragonal,1.31,1.31,1.50,0.00,0.00,0.00,1.31,1.50,ionic
Co1Ge1La1,icsd_085860,129,tetragonal,2.33,2.33,0.96,0.00,0.00,0.00,0.96,2.33,ionic
Co1Ge2La1,icsd_623464,63,orthorhombic,2.15,2.41,2.33,0.00,0.00,0.00,2.15,2.41,ionic
Co1Ge2Y1,icsd_623665,63,orthorhombic,2.32,2.50,2.40,0.00,0.00,0.00,2.32,2.50,ionic
Co1Ge3La1,icsd_042373,107,tetragonal,2.47,2.47,2.17,0.00,0.00,0.00,2.17,2.47,ionic
Co1K1O2,icsd_015770,129,tetragonal,15.38,15.38,3.84,0.00,0.00,0.00,3.84,15.38,ionic
Co1La1Sb2,icsd_657919,129,tetragonal,1.65,1.65,1.44,0.00,0.00,0.00,1.44,1.65,ionic
Co1La1Si1,icsd_658265,129,tetragonal,3.02,3.02,1.05,0.00,0.00,0.00,1.05,3.02,ionic
Co1La2O4,icsd_016404,64,orthorhombic,4.29,4.29,3.96,0.00,0.00,0.00,3.96,4.29,ionic
Co1La2O4,icsd_245657,139,tetragonal,22.57,22.57,9.64,0.00,0.00,0.00,9.64,22.57,ionic
Co1Li8O6,icsd_021026,185,hexagonal,4.58,4.58,5.04,0.00,0.00,0.00,4.58,5.04,ionic
Co1Mn1O3,icsd_031854,148,trigonal,27.78,27.78,27.52,0.00,0.00,0.00,27.52,27.78,ionic
